sample_barcode,sample_type,tcga_code,file_id,file_name
TCGA-4V-A9QM-01A,Primary Tumor,TCGA-THYM,2cd67fe4-4092-404a-a16c-25724e6ae494,34e7cfaa-e5f9-4fc3-934e-b6d96612dd28.rna_seq.augmented_star_gene_counts.tsv
TCGA-3G-AB0T-01A,Primary Tumor,TCGA-THYM,825f46ed-e0c5-4f19-9db5-251779705c0f,696fb01e-536c-4135-9757-9a3ddd51011d.rna_seq.augmented_star_gene_counts.tsv
TCGA-5G-A9ZZ-01A,Primary Tumor,TCGA-THYM,54c059d9-0912-4e2b-9378-a2aaccdedc66,bea4d298-8577-449b-9094-2b7bdf8c880c.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8M0-01A,Primary Tumor,TCGA-THYM,defb5e95-edfb-4aa9-ba6f-6cd06fe91993,f648abc5-cf97-49f3-9197-3976ea7d37cf.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-AAXZ-01A,Primary Tumor,TCGA-THYM,fa55d27a-f2f5-40a4-868d-4d1c429eb9de,289e916b-b3fe-4fcd-b3f6-b2a99ab55ece.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZB-A96G-01A,Primary Tumor,TCGA-THYM,0e341288-fc57-4309-855b-8e35400dfc63,eed48b43-c80e-471e-872f-0d79c798db15.rna_seq.augmented_star_gene_counts.tsv
TCGA-4X-A9FD-01A,Primary Tumor,TCGA-THYM,578adc42-4128-4424-ad77-e618a2104d9b,497b6c98-955f-4dd4-8fdc-54f2d183f095.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8M3-01A,Primary Tumor,TCGA-THYM,4ec92ada-57f1-4665-9410-a2f6ff9dd047,7ffbf4d7-bebd-4c73-be1e-708cff2b12e9.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZB-A966-01A,Primary Tumor,TCGA-THYM,b602afd1-669d-43ba-8019-ffa8072e353f,fee008d9-120d-4cce-be38-daa3920ac339.rna_seq.augmented_star_gene_counts.tsv
TCGA-3S-AAYX-01A,Primary Tumor,TCGA-THYM,4b5d8e53-e802-4543-906d-f84a17bc9b73,d574c54d-74ba-457f-bde9-6d4ef590d9a1.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A931-01A,Primary Tumor,TCGA-THYM,b7813d41-e0ca-4482-9333-6347395ce55d,380f072a-75ef-4011-adbc-748f6d68cf71.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A92V-01A,Primary Tumor,TCGA-THYM,21d0644a-8378-45bf-a0ae-4417ffb55844,e0e672f2-8d79-483d-9f95-0dfc3b428562.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-AAXX-01A,Primary Tumor,TCGA-THYM,1622aa8a-4ea9-40d6-a0f5-e57bd177d963,6b4bb68d-4961-4bec-be48-533fd31c637c.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8D6-01A,Primary Tumor,TCGA-THYM,049f13eb-6f23-49da-af51-d8d277ffa9e1,5c4b2897-0882-4d00-a8a8-99420ab084ac.rna_seq.augmented_star_gene_counts.tsv
TCGA-YT-A95G-01A,Primary Tumor,TCGA-THYM,922e43f4-db88-4029-8684-df07fd9fed98,537a4f13-9b34-473c-b013-ee4fb268231e.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-AAY0-01A,Primary Tumor,TCGA-THYM,93b3d1c8-3f97-47ff-85dd-3355a03ae8b7,57d7e356-09fe-40f7-84db-3ce87679efde.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-AAXY-01A,Primary Tumor,TCGA-THYM,14d42fff-2377-4199-862a-32d084fb46d0,1e61595d-a601-4dbf-8b22-3d98b1156d12.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-AAXV-01A,Primary Tumor,TCGA-THYM,8af49dd0-108a-4fe7-bd81-788bc6e59f95,2ff579ca-5496-47d3-a765-47ca67275b60.rna_seq.augmented_star_gene_counts.tsv
TCGA-XH-A853-01A,Primary Tumor,TCGA-THYM,d5af3fe1-e166-47ac-9238-09bc74821350,0b7203ae-6c3b-4fea-bbde-4a8e552fc80d.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8D7-01A,Primary Tumor,TCGA-THYM,fed7a19e-0cfa-4885-905b-be4bcbee4301,8e519e23-452f-4646-a31b-5a5a3b83227f.rna_seq.augmented_star_gene_counts.tsv
TCGA-5K-AAAP-01A,Primary Tumor,TCGA-THYM,85fefda7-8176-48ff-9a0b-23633c8e070a,94dbf56e-86b7-401d-901d-68e80ae10d8c.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8DD-01A,Primary Tumor,TCGA-THYM,b3ec56d9-dc9a-4506-8e05-a14c62c48b7d,beaa0397-5bca-4b33-adb7-153a798717b3.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8D8-01A,Primary Tumor,TCGA-THYM,c9054d12-162e-4fe1-b57a-b6555f743b15,f7df7bee-7bf6-4cc9-9434-39d586c8ce25.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZC-AAA7-01A,Primary Tumor,TCGA-THYM,03fe37ce-4102-4d8a-a31f-461a43789739,00791ae7-d024-48c7-b36c-b46466da3128.rna_seq.augmented_star_gene_counts.tsv
TCGA-4X-A9F9-01A,Primary Tumor,TCGA-THYM,c2da621c-d24d-4c3b-93e9-4b724c64650b,8d67668c-455b-4c48-9df0-198e5873fc5d.rna_seq.augmented_star_gene_counts.tsv
TCGA-4V-A9QL-01A,Primary Tumor,TCGA-THYM,2f14d839-1b3b-4111-a09d-dfffd7d82b8f,8aaf33e5-936c-49ee-bbdb-2a248a9cdcb1.rna_seq.augmented_star_gene_counts.tsv
TCGA-XM-A8RH-01A,Primary Tumor,TCGA-THYM,23b2b165-79bc-4281-a5d1-e92700ce3688,97221e05-1e9f-453e-9a55-d0970f3ec6af.rna_seq.augmented_star_gene_counts.tsv
TCGA-3S-A8YW-01A,Primary Tumor,TCGA-THYM,6ad69943-da6a-4f79-a944-b98d539e0dd3,dc6409dd-4bd2-41da-92d6-7285cf118609.rna_seq.augmented_star_gene_counts.tsv
TCGA-4X-A9FB-01A,Primary Tumor,TCGA-THYM,cb4fba47-5eb2-45d3-820a-25d08630a0ae,69c74af0-29af-4424-b284-1f1cd3183d59.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-AAY1-01A,Primary Tumor,TCGA-THYM,c4865851-99ac-47e0-8adc-fb1f6f073771,027f9b14-fd21-4add-96f2-2ea8c0085ae8.rna_seq.augmented_star_gene_counts.tsv
TCGA-3Q-A9WF-01A,Primary Tumor,TCGA-THYM,d5a4c96b-0e61-4d21-8309-934f0a1f5fe8,4d1c10d8-35cd-4c1d-9898-a88a9d4adf80.rna_seq.augmented_star_gene_counts.tsv
TCGA-4V-A9QX-01A,Primary Tumor,TCGA-THYM,a634f5c9-752e-48e1-8e55-f301e020224a,126b7b61-d15d-4e95-bd54-01ee20b86e31.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8M5-01A,Primary Tumor,TCGA-THYM,69899e4b-8293-4973-aecc-d2fc1c67fed4,e711d2a9-df13-4e09-8e62-33a75e1f21b2.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A936-01A,Primary Tumor,TCGA-THYM,5e054ba3-7705-4f04-9fea-81e6e2305912,15906514-3140-44dc-9999-e4f508676186.rna_seq.augmented_star_gene_counts.tsv
TCGA-5V-A9RR-01A,Primary Tumor,TCGA-THYM,52c09d3c-b5a4-4310-8c1f-63808bb120f7,7d8bb8b7-8e2f-4440-b83e-f73ca51372d9.rna_seq.augmented_star_gene_counts.tsv
TCGA-XM-A8RB-01A,Primary Tumor,TCGA-THYM,a38d8021-9400-4972-a996-740fa66d715f,56409e6d-e9d6-4ef6-b6a5-33642a84ef6c.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZL-A9V6-01A,Primary Tumor,TCGA-THYM,1c60eef3-9856-4bce-a873-546b1251240d,75e187b4-76dd-4ada-8316-59a798e5b14a.rna_seq.augmented_star_gene_counts.tsv
TCGA-XM-A8R8-01A,Primary Tumor,TCGA-THYM,61ff49e6-bdb1-447b-aa18-b20dda2fe165,8a1d2b6f-e67a-444d-9591-f12d5c64b87a.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A932-01A,Primary Tumor,TCGA-THYM,90a8f8b9-af48-440e-ace2-7d566c0ea90e,6ca03307-395c-4b32-a1c2-1d3171791639.rna_seq.augmented_star_gene_counts.tsv
TCGA-4V-A9QN-01A,Primary Tumor,TCGA-THYM,193fe8df-d115-45b4-9e43-7932e3af5eb9,505219b8-91dd-4b64-be0c-15a391c27dff.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZB-A965-01A,Primary Tumor,TCGA-THYM,71d5f8e6-3f89-4dba-a997-1cd28d78bee9,f201b51f-7f4b-42a5-951a-a5f1b634baf3.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZB-A96B-01A,Primary Tumor,TCGA-THYM,8c1f9f83-5113-4a6e-ba96-4229122b688a,684938e6-20e4-4f0f-a6bf-3fde13dd9ec2.rna_seq.augmented_star_gene_counts.tsv
